Artikelnummer,Produktname,Preis_1,Preis_2,Ab_Menge_2,Preis_3,Ab_Menge_3,Preis_4,Ab_Menge_4
8400-SH,Spargelbeutel aus Pergament-Ersatz - 2 kg,81.53,81.53,,67.08,,59.86,
8396,"LDPE-Abdeckung, unbedruckt,  für 60 x 40 cm Steige",0.18,0.17,,0.15,,0.14,
1316,"Erdbeerkörbchen Vollpappe für 2 - 2,5 kg",0.43,0.39,,0.36,,0.35,
8415-I,"Spargelkarton 1,5 kg individueller Kundendruck",0.5,0.46,,0.43,,0.4,
8451-SE,"Spargelkarton 5 kg, neutral bedruckt",0.61,0.59,,0.57,,,
1315-G,Wellpappkorb 2 kg gewachst  - frisches Obst,0.71,0.7,,0.69,,0.68,
8454-I,"Spargelkarton 5 kg, individuell bedruckt",0.76,0.69,,0.64,,0.61,
7064-D,Baumwoll-Unterziehhandschuh,0.77,0.66,,0.61,,0.51,
7064-H,Baumwoll-Unterziehhandschuh,0.77,0.66,,0.61,,0.51,
2028-A,"Spargelschäler ""Mini-Max""",0.83,0.73,,0.69,,0.63,
8453,"Spargelkarton 5 kg, neutral bedruckt 4C",0.83,0.76,,0.71,,0.7,
8721-CHG,Champignonsteige grün,0.85,0.77,,0.72,,0.67,
8390,Iso-Tragetasche ohne Aufdruck,0.9,0.88,,0.84,,0.74,
8461,"Spargelkarton 5 kg, gefaltet - weiß unbedruckt",0.92,0.88,,0.86,,0.83,
3506-22,Verbinder Tape 22 mm x Tape 22 mm,0.94,0.3,,,,,
3513-KU,"Verbinder Tape 16 mm x 3/4"" Außengewinde mit Kugel",1.05,0.85,,,,,
8721-CHB,Champignonsteige blau,1.15,1.05,,0.96,,0.92,
5015-B1c,"Blumenmesser, blau",1.17,1.07,,1.04,,0.99,
3506-KU,Verbinder Tape 16 mm x Tape 16 mm -  mit Kugelhahn,1.21,0.97,,,,,
3555-KU,Verbinder Tropfrohr 16 mm x Tropfrohr 16 mm mit Ku,1.21,0.97,,,,,
8418,"Wellpapp-Faltsteige, geeignet für Kirschen, Äpfel,",1.26,1.19,,1.09,,,
3502-KU,Verbinder Tape 16 mm x Flachschlauch - Lochung 14 ,1.42,1.14,,,,,
9135,"Regenponcho, schwarz/transparent 25 mµ",1.72,1.53,,1.39,,1.31,
5155,Wellenmesser rund,3.32,2.8,,2.53,,,
7031-D,Stechhandschuh Auslaufmodell,3.6,3.09,,2.88,,2.67,
8223,Auflegedeckel für 60 x 40 cm Kiste,3.97,3.8,,3.62,,,
8722-H,"Heidelbeerbehälter, 10/15 hoch",4.21,3.92,,3.56,,3.1,
7033-D,Work Nitril-Handschuh Damengröße,4.36,3.75,,3.38,,3.02,
7033-H,Work Nitril-Handschuh Herrengröße,4.36,3.75,,3.38,,3.02,
4313,Spargelsortierschablone,4.92,4.64,,4.52,,4.39,
4313-N,Spargelsortierschablone lang,4.92,4.64,,4.52,,4.39,
8706,"Kunststoffsteige , 10/16 cm hoch",4.92,4.69,,4.45,,3.97,
5011,Putzmesser,5.44,4.39,,4.09,,3.85,
4088-A,"Wechselklinge ""extrabreit"" aufgekohlt",5.84,5.44,,5.04,,4.79,
4089-A,"Wechselklinge ""gewölbt"" aufgekohlt",5.84,5.44,,5.04,,4.79,
8724-G,"Spargelbehälter 40x30x13 cm, grün",5.91,5.57,,5.11,,4.75,
8724-GR,"Kunststoffbehälter grau, 13 cm hoch",5.91,5.57,,5.11,,4.75,
7044-L,Latex-Einweghandschuhe gepudert Gr. 9/L,5.98,5.46,,5.15,,,
7044-M,Latex-Einweghandschuhe gepudert Gr. 8/M,5.98,5.46,,5.15,,,
7044-S,Latex-Einweghandschuhe gepudert Gr. 7/S,5.98,5.46,,5.15,,,
7031-EW,Einweghandschuhe schwarz ungepudert,6.09,5.37,,5.06,,4.64,
